% index X for GameFlag[X] = engine name = semantic name
%
% GameFlag[000-7FF] % 800DBC70 - 800DBD6F

1C5 = Flag_TIK_41 = unused
1C6 = Flag_TIK_42 = unused
1C7 = Flag_TIK_43 = unused
1C8 = Flag_TIK_44 = unused
1C9 = Flag_TIK_45 = unused
1CA = Flag_TIK_46 = unused
1CB = Flag_KGR_00 = unused
1CC = Flag_KGR_01 = unused
1CD = Flag_KGR_02 = unused
1CE = Flag_KGR_03 = unused
1CF = Flag_KGR_04 = unused
1D0 = Flag_KGR_05 = unused
1D1 = Flag_KGR_06 = unused
1D2 = Flag_KGR_07 = unused
1D3 = Flag_KGR_08 = unused
1D4 = Flag_KGR_09 = unused
1D5 = Flag_KGR_0A = unused
1D6 = Flag_KGR_0B = unused
1D7 = Flag_KGR_0C = unused
1D8 = Flag_KGR_0D = unused
1D9 = Flag_KGR_0E = unused
1DA = Flag_KGR_0F = unused
1DB = Flag_KGR_10 = unused
1DC = Flag_KGR_11 = unused
1DD = Flag_KGR_12 = unused
1DE = Flag_KGR_13 = unused
1DF = Flag_KKJ_00 = GF_KKJ14_OpenedPassage
1E0 = Flag_KKJ_01 = GF_KKJ14_RevealedButton
1E1 = Flag_KKJ_02 = GF_KKJ14_SkipSecretPassage
1E2 = Flag_KKJ_03 = GF_KKJ20_PeachMet_ToadInHiding
1E3 = Flag_KKJ_04 = GF_KKJ17_FoundMagicChest
1E4 = Flag_KKJ_05 = GF_KKJ16_Item_PowerRush
1E5 = Flag_KKJ_06 = GF_KKJ16_Gift_ShootingStar
1E6 = Flag_KKJ_07 = GF_KKJ17_Item_DeepFocus
1E7 = Flag_KKJ_08 = GF_KKJ20_Chest_LastStand
1E8 = Flag_KKJ_09 = GF_KKJ29_PeachWonJamminJelly
1E9 = Flag_KKJ_0A = GF_KKJ_Stored_PowerRush
1EA = Flag_KKJ_0B = GF_KKJ_Stored_ShootingStar
1EB = Flag_KKJ_0C = GF_KKJ_Stored_DeepFocus
1EC = Flag_KKJ_0D = GF_KKJ_Stored_LastStand
1ED = Flag_KKJ_0E = GF_KKJ_Stored_JamminJelly
1EE = Flag_KKJ_0F = GF_KKJ_Retrieved_PowerRush
1EF = Flag_KKJ_10 = GF_KKJ_Retrieved_ShootingStar
1F0 = Flag_KKJ_11 = GF_KKJ_Retrieved_DeepFocus
1F1 = Flag_KKJ_12 = GF_KKJ_Retrieved_LastStand
1F2 = Flag_KKJ_13 = GF_KKJ_Retrieved_JamminJelly
1F3 = Flag_KKJ_14 = GF_KKJ18_GourmetGuy_GaveKey
1F4 = Flag_KKJ_15 = GF_KKJ11_UnlockedKitchen
1F5 = Flag_KKJ_16 = GF_KKJ11_TrickedGuard
1F6 = Flag_KKJ_17 = GF_KKJ10_UnlockedDoor
1F7 = Flag_KKJ_18 = GF_KKJ12_TrickedGuard
1F8 = Flag_KKJ_19 = GF_KKJ16_Item_LifeShroom
1F9 = Flag_KKJ_1A = GF_KKJ20_Met_ToadInHiding
1FA = Flag_KKJ_1B = GF_KKJ13_BowserTaunts
1FB = Flag_KKJ_1C = GF_KKJ23_BowserFledToTower
1FC = Flag_KKJ_1D = GF_KKJ25_Defeated_Kammy
1FD = Flag_KKJ_1E = GF_KKJ25_Defeated_Bowser
1FE = Flag_KKJ_1F = GF_KKJ25_Visited
1FF = Flag_KKJ_20 = unused
200 = Flag_KKJ_21 = unused
201 = Flag_KKJ_22 = unused
202 = Flag_KKJ_23 = unused
203 = Flag_KKJ_24 = unused
204 = Flag_KKJ_25 = unused
205 = Flag_KKJ_26 = unused
206 = Flag_KKJ_27 = unused
207 = Flag_KKJ_28 = unused
208 = Flag_KKJ_29 = unused
209 = Flag_KKJ_2A = unused
20A = Flag_KKJ_2B = unused
20B = Flag_KKJ_2C = unused
20C = Flag_KKJ_2D = unused
20D = Flag_KKJ_2E = unused
20E = Flag_KKJ_2F = unused
20F = Flag_KKJ_30 = unused
210 = Flag_KKJ_31 = unused
211 = Flag_KKJ_32 = unused
212 = Flag_KKJ_33 = unused
213 = Flag_HOS_00 = unused
214 = Flag_HOS_01 = GF_HOS04_Visited
215 = Flag_HOS_02 = unused
216 = Flag_HOS_03 = unused
217 = Flag_HOS_04 = GF_HOS06_Met_Merluvlee
218 = Flag_HOS_05 = GF_HOS06_MerluvleeRequestedCrystalBall
219 = Flag_HOS_06 = GF_HOS06_Gift_MerluvleesAutograph
21A = Flag_HOS_07 = GF_HOS00_HiddenPanel
21B = Flag_HOS_08 = GF_HOS01_HiddenPanel
21C = Flag_HOS_09 = GF_HOS06_HiddenPanel
21D = Flag_HOS_0A = unused
21E = Flag_HOS_0B = unused
21F = Flag_HOS_0C = unused
220 = Flag_HOS_0D = GF_HOS01_Item_StarPiece
221 = Flag_HOS_0E = unused
222 = Flag_HOS_0F = unused
223 = Flag_HOS_10 = unused
224 = Flag_HOS_11 = unused
225 = Flag_HOS_12 = unused
226 = Flag_HOS_13 = unused
227 = Flag_HOS_14 = unused
228 = Flag_HOS_15 = unused
229 = Flag_HOS_16 = unused
22A = Flag_HOS_17 = unused
22B = Flag_HOS_18 = unused
22C = Flag_HOS_19 = unused
22D = Flag_HOS_1A = unused
22E = Flag_HOS_1B = unused
22F = Flag_HOS_1C = unused
230 = Flag_HOS_1D = unused
231 = Flag_HOS_1E = unused
232 = Flag_HOS_1F = unused
233 = Flag_HOS_20 = unused
234 = Flag_HOS_21 = unused
235 = Flag_HOS_22 = unused
236 = Flag_NOK_00 = GF_NOK01_RecoveredShellA
237 = Flag_NOK_01 = GF_NOK01_RecoveredShellB
238 = Flag_NOK_02 = GF_NOK01_RecoveredShellC
239 = Flag_NOK_03 = GF_NOK02_StolenShellComplaintA
23A = Flag_NOK_04 = GF_NOK02_RecoveredShellA
23B = Flag_NOK_05 = GF_NOK02_StolenShellComplaintB
23C = Flag_NOK_06 = GF_NOK02_RecoveredShellB
23D = Flag_NOK_07 = GF_NOK02_KoloradoWife_FuzzyComplaint
23E = Flag_NOK_08 = unused
23F = Flag_NOK_09 = unused
240 = Flag_NOK_0A = unused
241 = Flag_NOK_0B = GF_NOK15_BombedWall
242 = Flag_NOK_0C = GF_NOK03_Item_HPPlusB
243 = Flag_NOK_0D = GF_NOK02_Item_StarPiece
244 = Flag_NOK_0E = GF_NOK12_Item_StarPiece
245 = Flag_NOK_0F = GF_NOK14_Item_ThunderBolt
246 = Flag_NOK_10 = GF_NOK14_Item_CoinA
247 = Flag_NOK_11 = GF_NOK14_Item_CoinB
248 = Flag_NOK_12 = GF_NOK14_Item_CoinC
249 = Flag_NOK_13 = GF_NOK14_Item_CoinD
24A = Flag_NOK_14 = GF_NOK14_Item_CoinE
24B = Flag_NOK_15 = unused
24C = Flag_NOK_16 = GF_NOK01_Bush1_Coin
24D = Flag_NOK_17 = GF_NOK01_Bush3_DriedShroom
24E = Flag_NOK_18 = GF_NOK01_Bush4_KoopaLeaf
24F = Flag_NOK_19 = GF_NOK01_Bush5_Coin
250 = Flag_NOK_1A = GF_NOK02_Bush1_KoopaLeaf
251 = Flag_NOK_1B = GF_NOK15_Tree1_StarPiece
252 = Flag_NOK_1C = GF_NOK11_ItemBlock_Coin
253 = Flag_NOK_1D = GF_NOK11_BadgeBlock_DizzyAttack
254 = Flag_NOK_1E = GF_NOK11_ItemBlock_FrightJar
255 = Flag_NOK_1F = GF_NOK12_ItemBlock_POWBlock
256 = Flag_NOK_20 = GF_NOK13_BadgeBlock_AttackFXB
257 = Flag_NOK_21 = GF_NOK14_HiddenItem_FireFlower
258 = Flag_NOK_22 = GF_NOK12_MultiCoinBrick
259 = Flag_NOK_23 = unused
25A = Flag_NOK_24 = unused
25B = Flag_NOK_25 = unused
25C = Flag_NOK_26 = unused
25D = Flag_NOK_27 = unused
25E = Flag_NOK_28 = GF_NOK01_HiddenPanel
25F = Flag_NOK_29 = unused
260 = Flag_NOK_2A = GF_NOK13_HiddenPanel
261 = Flag_NOK_2B = GF_NOK14_HiddenPanel
262 = Flag_NOK_2C = GF_NOK11_Defeated_KentC % also allows Kolorado to return home
263 = Flag_NOK_2D = GF_NOK01_Bush6_Glasses
264 = Flag_NOK_2E = GF_NOK01_Bush7_EmptyWallet
265 = Flag_NOK_2F = GF_NOK02_Gift_KoopaLegends
266 = Flag_NOK_30 = GF_NOK02_ConfrontedBobombs
267 = Flag_NOK_31 = GF_NOK12_Item_SleepySheep
268 = Flag_NOK_32 = GF_NOK13_Item_HoneySyrup
269 = Flag_NOK_33 = GF_NOK02_Met_KoopaKoot
26A = Flag_NOK_34 = unused
26B = Flag_NOK_35 = unused
26C = Flag_NOK_36 = unused
26D = Flag_NOK_37 = unused
26E = Flag_NOK_38 = unused
26F = Flag_NOK_39 = unused
270 = Flag_NOK_3A = unused
271 = Flag_NOK_3B = unused
272 = Flag_NOK_3C = unused
273 = Flag_NOK_3D = unused
274 = Flag_NOK_3E = unused
275 = Flag_NOK_3F = unused
276 = Flag_NOK_40 = unused
277 = Flag_NOK_41 = unused
278 = Flag_NOK_42 = unused
279 = Flag_NOK_43 = unused
27A = Flag_NOK_44 = unused
27B = Flag_NOK_45 = unused
27C = Flag_NOK_46 = unused
27D = Flag_NOK_47 = unused
27E = Flag_TRD_00 = GF_TRD01_Item_SmashCharge
27F = Flag_TRD_01 = GF_TRD03_Item_PowerBounce
280 = Flag_TRD_02 = GF_TRD09_ItemBlock_MapleSyrup
281 = Flag_TRD_03 = GF_TRD00_Chest_Refund
282 = Flag_TRD_04 = GF_TRD00_Chest_FPPlusB
283 = Flag_TRD_05 = unused
284 = Flag_TRD_06 = unused
285 = Flag_TRD_07 = GF_TRD01_Item_FortressKey
286 = Flag_TRD_08 = GF_TRD03_Item_FortressKeyA
287 = Flag_TRD_09 = GF_TRD03_Item_FortressKeyB
288 = Flag_TRD_0A = GF_TRD08_Item_FortressKey
289 = Flag_TRD_0B = unused
28A = Flag_TRD_0C = GF_TRD01_UnlockedDoor
28B = Flag_TRD_0D = GF_TRD02_UnlockedDoor
28C = Flag_TRD_0E = GF_TRD04_UnlockedUpperDoor
28D = Flag_TRD_0F = GF_TRD04_UnlockedLowerDoor
28E = Flag_TRD_10 = unused
28F = Flag_TRD_11 = GF_TRD02_BombedWall
290 = Flag_TRD_12 = GF_TRD03_BombedCenterCell
291 = Flag_TRD_13 = GF_TRD03_BombedRightCell
292 = Flag_TRD_14 = GF_TRD05_BombedWall
293 = Flag_TRD_15 = GF_TRD06_BombedWall
294 = Flag_TRD_16 = GF_TRD06_Met_Bombette
295 = Flag_TRD_17 = GF_TRD09_Defeated_BillBlasters
296 = Flag_TRD_18 = GF_TRD09_BombedRock
297 = Flag_TRD_19 = GF_TRD10_Defeated_KoopaBros
298 = Flag_TRD_1A = unused
299 = Flag_TRD_1B = GF_TRD01_Defeated_KoopaGuard
29A = Flag_TRD_1C = GF_TRD07_Defeated_DungeonAmbush
29B = Flag_TRD_1D = unused
29C = Flag_TRD_1E = unused
29D = Flag_TRD_1F = unused
29E = Flag_TRD_20 = unused
29F = Flag_TRD_21 = unused
2A0 = Flag_TRD_22 = unused
2A1 = Flag_TRD_23 = unused
2A2 = Flag_TRD_24 = unused
2A3 = Flag_TRD_25 = unused
2A4 = Flag_TRD_26 = unused
2A5 = Flag_TRD_27 = unused
2A6 = Flag_TRD_28 = unused
2A7 = Flag_TRD_29 = unused
2A8 = Flag_TRD_2A = unused
2A9 = Flag_TRD_2B = unused
2AA = Flag_TRD_2C = unused
2AB = Flag_TRD_2D = unused
2AC = Flag_TRD_2E = unused
2AD = Flag_TRD_2F = unused
2AE = Flag_IWA_00 = GF_IWA01_Item_QuakeHammer
2AF = Flag_IWA_01 = GF_IWA02_Item_StarPiece
2B0 = Flag_IWA_02 = GF_IWA03_Item_StarPiece
2B1 = Flag_IWA_03 = GF_IWA03_Chest_DamageDodgeB
2B2 = Flag_IWA_04 = unused
2B3 = Flag_IWA_05 = GF_IWA00_Item_CoinA
2B4 = Flag_IWA_06 = GF_IWA00_Item_CoinB
2B5 = Flag_IWA_07 = GF_IWA00_Item_CoinC
2B6 = Flag_IWA_08 = GF_IWA03_Item_CoinA
2B7 = Flag_IWA_09 = GF_IWA03_Item_CoinB
2B8 = Flag_IWA_0A = GF_IWA03_Item_CoinC
2B9 = Flag_IWA_0B = GF_IWA03_Item_CoinD
2BA = Flag_IWA_0C = GF_IWA03_Item_CoinE
2BB = Flag_IWA_0D = GF_IWA03_Item_CoinF
2BC = Flag_IWA_0E = GF_IWA03_Item_CoinG
2BD = Flag_IWA_0F = GF_IWA03_Item_CoinH
2BE = Flag_IWA_10 = GF_IWA03_ItemBlock_Coin
2BF = Flag_IWA_11 = GF_IWA03_ItemBlock_Mushroom
2C0 = Flag_IWA_12 = GF_IWA03_ItemBlock_HoneySyrup
2C1 = Flag_IWA_13 = GF_IWA01_Item_Letter01
2C2 = Flag_IWA_14 = GF_IWA03_Item_Letter25
2C3 = Flag_IWA_15 = GF_IWA04_Item_Letter10
2C4 = Flag_IWA_16 = GF_IWA04_Defeated_Buzzar
2C5 = Flag_IWA_17 = GF_IWA10_Bush1_Coin
2C6 = Flag_IWA_18 = GF_IWA10_Bush2_Coin
2C7 = Flag_IWA_19 = GF_IWA10_Bush3_Coin
2C8 = Flag_IWA_1A = unused
2C9 = Flag_IWA_1B = unused
2CA = Flag_IWA_1C = unused
2CB = Flag_IWA_1D = GF_IWA00_ItemBlock_SleepySheep
2CC = Flag_IWA_1E = GF_IWA02_Gift_MagicalSeed2
2CD = Flag_IWA_1F = GF_IWA01_HiddenPanel
2CE = Flag_IWA_20 = unused
2CF = Flag_IWA_21 = GF_IWA01_Hammer1Block
2D0 = Flag_IWA_22 = GF_IWA10_Hammer1Block
2D1 = Flag_IWA_23 = GF_IWA10_SuperBlock
2D2 = Flag_IWA_24 = GF_IWA00_Met_Whacka
2D3 = Flag_IWA_25 = unused
2D4 = Flag_IWA_26 = unused
2D5 = Flag_IWA_27 = unused
2D6 = Flag_IWA_28 = unused
2D7 = Flag_IWA_29 = unused
2D8 = Flag_IWA_2A = unused
2D9 = Flag_IWA_2B = unused
2DA = Flag_IWA_2C = unused
2DB = Flag_IWA_2D = unused
2DC = Flag_IWA_2E = unused
2DD = Flag_IWA_2F = unused
2DE = Flag_IWA_30 = unused
2DF = Flag_IWA_31 = unused
2E0 = Flag_IWA_32 = unused
2E1 = Flag_IWA_33 = unused
2E2 = Flag_IWA_34 = unused
2E3 = Flag_IWA_35 = unused
2E4 = Flag_IWA_36 = unused
2E5 = Flag_IWA_37 = unused
2E6 = Flag_IWA_38 = unused
2E7 = Flag_IWA_39 = unused
2E8 = Flag_IWA_3A = unused
2E9 = Flag_IWA_3B = unused
2EA = Flag_DRO_00 = GF_DRO02_Sheek_SpokeTo
2EB = Flag_DRO_01 = GF_DRO02_Sheek_AskedAboutDesert
2EC = Flag_DRO_02 = GF_DRO02_Sheek_AskedAboutRuins
2ED = Flag_DRO_03 = GF_DRO02_Sheek_AskedAboutMoustafa
2EE = Flag_DRO_04 = GF_DRO02_Moustafa_UnusedDialogOverride
2EF = Flag_DRO_05 = GF_DRO02_Moustafa_HeardAboutDryDryRuins
2F0 = Flag_DRO_06 = unused
2F1 = Flag_DRO_07 = unused
2F2 = Flag_DRO_08 = GF_DRO01_Gift_Melody
2F3 = Flag_DRO_09 = GF_DRO01_Gift_ToldComposerAboutMelody
2F4 = Flag_DRO_0A = GF_DRO02_HiddenPanel
2F5 = Flag_DRO_0B = GF_DRO02_Item_Letter08
2F6 = Flag_DRO_0C = GF_DRO01_Gift_RedJar
2F7 = Flag_DRO_0D = GF_DRO01_Gift_CrystalBall
2F8 = Flag_DRO_0E = GF_DRO01_Tree1_Coin
2F9 = Flag_DRO_0F = GF_DRO01_HeardHintAboutSpinningRoof
2FA = Flag_DRO_10 = unused
2FB = Flag_DRO_11 = unused
2FC = Flag_DRO_12 = unused
2FD = Flag_DRO_13 = unused
2FE = Flag_DRO_14 = unused
2FF = Flag_DRO_15 = unused
300 = Flag_DRO_16 = unused
301 = Flag_DRO_17 = unused
302 = Flag_DRO_18 = unused
303 = Flag_DRO_19 = unused
304 = Flag_DRO_1A = unused
305 = Flag_DRO_1B = unused
306 = Flag_DRO_1C = unused
307 = Flag_DRO_1D = unused
308 = Flag_DRO_1E = unused
309 = Flag_DRO_1F = unused
30A = Flag_DRO_20 = unused
30B = Flag_DRO_21 = unused
30C = Flag_DRO_22 = unused
30D = Flag_DRO_23 = unused
30E = Flag_SBK_00 = GF_SBK30_Met_Kolorado
30F = Flag_SBK_01 = GF_SBK34_Met_Nomadimouse
310 = Flag_SBK_02 = unused
311 = Flag_SBK_03 = GF_SBK_KeptArtifactFromKolorado % refused to give it to him
312 = Flag_SBK_04 = GF_SBK_GaveArtifactToKolorado
313 = Flag_SBK_05 = GF_SBK30_Kolorado_SharedRumorAboutMoustafa
314 = Flag_SBK_06 = unused
315 = Flag_SBK_07 = unused
316 = Flag_SBK_08 = unused
317 = Flag_SBK_09 = unused
318 = Flag_SBK_0A = GF_SBK56_Tree1_Lemon
319 = Flag_SBK_0B = GF_SBK56_UnusedA % set to false, never read. presumably once used for fruit trees that no longer exist.
31A = Flag_SBK_0C = GF_SBK56_Tree2_Lime
31B = Flag_SBK_0D = GF_SBK56_UnusedB % set to false, never read. presumably once used for fruit trees that no longer exist.
31C = Flag_SBK_0E = GF_SBK33_HiddenPanel
31D = Flag_SBK_0F = GF_SBK00_ItemBlock_FrightJar
31E = Flag_SBK_10 = GF_SBK00_ItemBlock_Coin
31F = Flag_SBK_11 = GF_SBK10_HiddenItem_ThunderRage
320 = Flag_SBK_12 = GF_SBK14_ItemBlock_Coin
321 = Flag_SBK_13 = GF_SBK14_ItemBlock_HoneySyrup
322 = Flag_SBK_14 = GF_SBK20_ItemBlock_Mushroom
323 = Flag_SBK_15 = GF_SBK20_ItemBlock_SuperShroom
324 = Flag_SBK_16 = GF_SBK20_ItemBlock_UltraShroom
325 = Flag_SBK_17 = GF_SBK22_ItemBlock_CoinA
326 = Flag_SBK_18 = GF_SBK22_ItemBlock_CoinB
327 = Flag_SBK_19 = GF_SBK22_ItemBlock_CoinC
328 = Flag_SBK_1A = GF_SBK22_ItemBlock_CoinD
329 = Flag_SBK_1B = GF_SBK22_ItemBlock_FireFlower
32A = Flag_SBK_1C = GF_SBK24_HiddenBadge_RunawayPay
32B = Flag_SBK_1D = GF_SBK43_ItemBlock_Coin
32C = Flag_SBK_1E = GF_SBK46_ItemBlock_Coin
32D = Flag_SBK_1F = GF_SBK46_HiddenItem_LifeShroom
32E = Flag_SBK_20 = GF_SBK61_HiddenBadge_AttackFXC
32F = Flag_SBK_21 = GF_SBK64_ItemBlock_Coin
330 = Flag_SBK_22 = GF_SBK06_MultiCoinBrick
331 = Flag_SBK_23 = GF_SBK14_MultiCoinBrick
332 = Flag_SBK_24 = GF_SBK25_MultiCoinBrickA
333 = Flag_SBK_25 = GF_SBK25_MultiCoinBrickB
334 = Flag_SBK_26 = GF_SBK40_MultiCoinBrick
335 = Flag_SBK_27 = GF_SBK52_MultiCoinBrick
336 = Flag_SBK_28 = GF_SBK55_MultiCoinBrick
337 = Flag_SBK_29 = GF_SBK66_MultiCoinBrickA
338 = Flag_SBK_2A = GF_SBK66_MultiCoinBrickB
339 = Flag_SBK_2B = GF_SBK66_MultiCoinBrickC
33A = Flag_SBK_2C = GF_SBK66_MultiCoinBrickD
33B = Flag_SBK_2D = GF_SBK66_MultiCoinBrickE
33C = Flag_SBK_2E = GF_SBK66_MultiCoinBrickF
33D = Flag_SBK_2F = GF_SBK56_SuperBlock
33E = Flag_SBK_30 = GF_SBK30_Visited
33F = Flag_SBK_31 = GF_SBK05_Item_FireFlower
340 = Flag_SBK_32 = GF_SBK30_Tree2_Letter02
341 = Flag_SBK_33 = GF_SBK36_Tree9_Letter03
342 = Flag_SBK_34 = GF_SBK45_Item_SpinAttack
343 = Flag_SBK_35 = GF_SBK45_Item_StopWatch
344 = Flag_SBK_36 = GF_SBK55_Item_TastyTonic
345 = Flag_SBK_37 = GF_SBK06_Tree1_Coin
346 = Flag_SBK_38 = GF_SBK26_Tree1_Coin
347 = Flag_SBK_39 = GF_SBK34_Tree1_Coin
348 = Flag_SBK_3A = GF_SBK35_Tree1_Coin
349 = Flag_SBK_3B = GF_SBK36_Tree1_Coin
34A = Flag_SBK_3C = GF_SBK36_Tree2_Coin
34B = Flag_SBK_3D = GF_SBK36_Tree6_Coin
34C = Flag_SBK_3E = GF_SBK46_Tree2_Coin
34D = Flag_SBK_3F = GF_SBK55_Tree1_Coin
34E = Flag_SBK_40 = GF_SBK56_Tree3_Coin
34F = Flag_SBK_41 = GF_SBK56_Tree9_Coin
350 = Flag_SBK_42 = GF_SBK66_Tree3_Coin
351 = Flag_SBK_43 = GF_SBK30_KooperMetKolorado
352 = Flag_SBK_44 = unused
353 = Flag_SBK_45 = unused
354 = Flag_SBK_46 = unused
355 = Flag_SBK_47 = unused
356 = Flag_SBK_48 = unused
357 = Flag_SBK_49 = unused
358 = Flag_SBK_4A = unused
359 = Flag_SBK_4B = unused
35A = Flag_SBK_4C = unused
35B = Flag_SBK_4D = unused
35C = Flag_SBK_4E = unused
35D = Flag_SBK_4F = unused
35E = Flag_SBK_50 = unused
35F = Flag_SBK_51 = unused
360 = Flag_SBK_52 = unused
361 = Flag_SBK_53 = unused
362 = Flag_SBK_54 = unused
363 = Flag_SBK_55 = unused
364 = Flag_SBK_56 = unused
365 = Flag_SBK_57 = unused
366 = Flag_ISK_00 = GF_ISK02_UnlockedDoor
367 = Flag_ISK_01 = GF_ISK03_Item_RuinsKey
368 = Flag_ISK_02 = GF_ISK04_BombedWall
369 = Flag_ISK_03 = GF_ISK04_UnlockedDoor
36A = Flag_ISK_04 = GF_ISK06_Item_RuinsKey
36B = Flag_ISK_05 = GF_ISK07_Item_RuinsKey
36C = Flag_ISK_06 = GF_ISK07_Defeated_Mummies
36D = Flag_ISK_07 = GF_ISK07_UnlockedDoor
36E = Flag_ISK_08 = GF_ISK_BombedWallFrom08
36F = Flag_ISK_09 = GF_ISK10_BombedWall
370 = Flag_ISK_0A = GF_ISK_BombedWallFrom10
371 = Flag_ISK_0B = GF_ISK13_Item_LunarStone
372 = Flag_ISK_0C = GF_ISK05_Item_PyramidStone
373 = Flag_ISK_0D = GF_ISK14_Item_DiamondStone
374 = Flag_ISK_0E = GF_ISK07_Item_Artifact
375 = Flag_ISK_0F = GF_ISK06_Item_StarPiece
376 = Flag_ISK_10 = GF_ISK07_OpenedSarcophagi
377 = Flag_ISK_11 = GF_ISK12_Item_RuinsKey
378 = Flag_ISK_12 = GF_ISK11_UnlockedDoor
379 = Flag_ISK_13 = GF_ISK01_FirstWarning
37A = Flag_ISK_14 = GF_ISK04_SecondWarning
37B = Flag_ISK_15 = GF_ISK09_ThirdWarning
37C = Flag_ISK_16 = GF_ISK11_FourthWarning
37D = Flag_ISK_17 = GF_ISK19_FinalWarning
37E = Flag_ISK_18 = GF_ISK05_Hammer2Block
37F = Flag_ISK_19 = GF_ISK07_Hammer2Block
380 = Flag_ISK_1A = GF_ISK09_Hammer2Block
381 = Flag_ISK_1B = GF_ISK12_Hammer2Block
382 = Flag_ISK_1C = GF_ISK13_Hammer2Block
383 = Flag_ISK_1D = GF_ISK14_Hammer2Block
384 = Flag_ISK_1E = GF_ISK09_GiantChest
385 = Flag_ISK_1F = GF_ISK09_Chest_SlowGo
386 = Flag_ISK_20 = GF_ISK16_Defeated_Tutankoopa
387 = Flag_ISK_21 = GF_ISK10_SuperBlock
388 = Flag_ISK_22 = GF_ISK05_Defeated_StoneChomp
389 = Flag_ISK_23 = GF_ISK13_Defeated_StoneChomp
38A = Flag_ISK_24 = GF_ISK14_Defeated_StoneChomp
38B = Flag_ISK_25 = unused
38C = Flag_ISK_26 = unused
38D = Flag_ISK_27 = unused
38E = Flag_ISK_28 = unused
38F = Flag_ISK_29 = unused
390 = Flag_ISK_2A = unused
391 = Flag_ISK_2B = unused
392 = Flag_ISK_2C = unused
393 = Flag_ISK_2D = unused
394 = Flag_ISK_2E = unused
395 = Flag_ISK_2F = unused
396 = Flag_ISK_30 = unused
397 = Flag_ISK_31 = unused
398 = Flag_ISK_32 = unused
399 = Flag_ISK_33 = unused
39A = Flag_ISK_34 = unused
39B = Flag_ISK_35 = unused
39C = Flag_MIM_00 = GF_MIM_ChoosingPath % unclear logic
39D = Flag_MIM_01 = GF_MIM08_BadgeBlock_HPPlusA
39E = Flag_MIM_02 = GF_MIM09_BadgeBlock_FPPlusA
39F = Flag_MIM_03 = GF_MIM10_Defeated_JrTroopa
3A0 = Flag_MIM_04 = GF_MIM10_JrTroopaFreakout
3A1 = Flag_MIM_05 = GF_MIM10_JrTroopaEscaped
3A2 = Flag_MIM_06 = GF_MIM04_Gift_MagicalSeed3
3A3 = Flag_MIM_07 = unused
3A4 = Flag_MIM_08 = unused
3A5 = Flag_MIM_09 = GF_MIM12_HiddenPanel
3A6 = Flag_MIM_0A = unused
3A7 = Flag_MIM_0B = GF_MIM11_ItemBlock_VoltShroom
3A8 = Flag_MIM_0C = unused
3A9 = Flag_MIM_0D = unused
3AA = Flag_MIM_0E = unused
3AB = Flag_MIM_0F = unused
3AC = Flag_MIM_10 = unused
3AD = Flag_MIM_11 = unused
3AE = Flag_MIM_12 = unused
3AF = Flag_MIM_13 = unused
3B0 = Flag_MIM_14 = unused
3B1 = Flag_MIM_15 = unused
3B2 = Flag_MIM_16 = unused
3B3 = Flag_MIM_17 = unused
3B4 = Flag_MIM_18 = unused
3B5 = Flag_MIM_19 = unused
3B6 = Flag_MIM_1A = unused
3B7 = Flag_MIM_1B = unused
3B8 = Flag_MIM_1C = unused
3B9 = Flag_MIM_1D = unused
3BA = Flag_MIM_1E = unused
3BB = Flag_MIM_1F = unused
3BC = Flag_OBK_00 = unused
3BD = Flag_OBK_01 = GF_OBK01_Visited
3BE = Flag_OBK_02 = unused
3BF = Flag_OBK_03 = GF_OBK01_Gift_OldPhoto
3C0 = Flag_OBK_04 = GF_OBK01_Portrait_Farewell
3C1 = Flag_OBK_05 = GF_OBK01_HiddenPanel
3C2 = Flag_OBK_06 = GF_OBK02_TriggeredChestTrap
3C3 = Flag_OBK_07 = GF_OBK02_Chest_Trap
3C4 = Flag_OBK_08 = GF_OBK02_HiddenPanel
3C5 = Flag_OBK_09 = GF_OBK03_Crate_SuperShroom
3C6 = Flag_OBK_0A = unused
3C7 = Flag_OBK_0B = GF_OBK04_GiantChest
3C8 = Flag_OBK_0C = GF_OBK04_BoardedFloor
3C9 = Flag_OBK_0D = GF_OBK04_UnusedBoardedFloor
3CA = Flag_OBK_0E = GF_OBK04_Crate_MapleSyrup
3CB = Flag_OBK_0F = GF_OBK04_HeardAboutHiddenPanels
3CC = Flag_OBK_10 = GF_OBK04_HiddenPanel
3CD = Flag_OBK_11 = GF_OBK05_BoardedFloor
3CE = Flag_OBK_12 = GF_OBK06_BombedWall
3CF = Flag_OBK_13 = GF_OBK06_Item_BoosPortrait
3D0 = Flag_OBK_14 = GF_OBK06_Crate_StarPiece
3D1 = Flag_OBK_15 = unused
3D2 = Flag_OBK_16 = GF_OBK07_Chest_Weight
3D3 = Flag_OBK_17 = GF_OBK08_Item_Record
3D4 = Flag_OBK_18 = GF_OBK08_HiddenPanel
3D5 = Flag_OBK_19 = GF_OBK01_Met_Portrait
3D6 = Flag_OBK_1A = unused
3D7 = Flag_OBK_1B = unused
3D8 = Flag_OBK_1C = unused
3D9 = Flag_OBK_1D = unused
3DA = Flag_OBK_1E = unused
3DB = Flag_OBK_1F = unused
3DC = Flag_OBK_20 = unused
3DD = Flag_OBK_21 = unused
3DE = Flag_OBK_22 = unused
